"Id","date","TotalMinutesAsleep","TotalTimeInBed","TotalSteps","TotalDistance","VeryActiveMinutes","ModeratelyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","TotalActiviteMinutes","TotalActiveMinutes"
1503960366,2016-04-12,327,346,13162,8.5,25,13,328,728,1094,1094
1503960366,2016-04-13,384,407,10735,6.96999979019165,21,19,217,776,1033,1033
1503960366,2016-04-15,412,442,9762,6.28000020980835,29,34,209,726,998,998
1503960366,2016-04-16,340,367,12669,8.15999984741211,36,10,221,773,1040,1040
1503960366,2016-04-17,700,712,9705,6.48000001907349,38,20,164,539,761,761
1503960366,2016-04-19,304,320,15506,9.88000011444092,50,31,264,775,1120,1120
1503960366,2016-04-20,360,377,10544,6.67999982833862,28,12,205,818,1063,1063
1503960366,2016-04-21,325,364,9819,6.34000015258789,19,8,211,838,1076,1076
1503960366,2016-04-23,361,384,14371,9.03999996185303,41,21,262,732,1056,1056
1503960366,2016-04-24,430,449,10039,6.40999984741211,39,5,238,709,991,991
1503960366,2016-04-25,277,323,15355,9.80000019073486,73,14,216,814,1117,1117
1503960366,2016-04-26,245,274,13755,8.78999996185303,31,23,279,833,1166,1166
1503960366,2016-04-28,366,393,13154,8.52999973297119,48,28,189,782,1047,1047
1503960366,2016-04-29,341,354,11181,7.15000009536743,16,12,243,815,1086,1086
1503960366,2016-04-30,404,425,14673,9.25,52,34,217,712,1015,1015
1503960366,2016-05-01,369,396,10602,6.80999994277954,33,35,246,730,1044,1044
1503960366,2016-05-02,277,309,14727,9.71000003814697,41,15,277,798,1131,1131
1503960366,2016-05-03,273,296,15103,9.65999984741211,50,24,254,816,1144,1144
1503960366,2016-05-05,247,264,14070,8.89999961853027,45,24,250,857,1176,1176
1503960366,2016-05-06,334,367,12159,8.02999973297119,24,6,289,754,1073,1073
1503960366,2016-05-07,331,349,11992,7.71000003814697,37,46,175,833,1091,1091
1503960366,2016-05-08,594,611,10060,6.57999992370605,44,8,203,574,829,829
1503960366,2016-05-09,338,342,12022,7.71999979019165,46,11,206,835,1098,1098
1503960366,2016-05-10,383,403,12207,7.76999998092651,46,31,214,746,1037,1037
1503960366,2016-05-11,285,306,12770,8.13000011444092,36,23,251,669,979,979
1644430081,2016-04-29,119,127,3176,2.30999994277954,0,0,120,1193,1313,1313
1644430081,2016-04-30,124,142,18213,13.2399997711182,9,71,402,816,1298,1298
1644430081,2016-05-02,796,961,3758,2.73000001907349,1,7,148,682,838,838
1644430081,2016-05-08,137,154,6724,4.8899998664856,0,0,295,991,1286,1286
1844505072,2016-04-15,644,961,3844,2.53999996185303,0,0,176,527,703,703
1844505072,2016-04-30,722,961,4014,2.67000007629395,0,0,184,218,402,402
1844505072,2016-05-01,590,961,2573,1.70000004768372,0,7,75,585,667,667
1927972279,2016-04-12,750,775,678,0.469999998807907,0,0,55,734,789,789
1927972279,2016-04-13,398,422,356,0.25,0,0,32,986,1018,1018
1927972279,2016-04-15,475,499,980,0.680000007152557,0,0,51,941,992,992
1927972279,2016-04-26,296,315,3761,2.59999990463257,0,0,192,1058,1250,1250
1927972279,2016-04-28,166,178,1675,1.1599999666214,0,0,95,1167,1262,1262
2026352035,2016-04-12,503,546,4414,2.74000000953674,3,8,181,706,898,898
2026352035,2016-04-13,531,565,4993,3.09999990463257,0,0,238,663,901,901
2026352035,2016-04-14,545,568,3335,2.0699999332428,0,0,197,653,850,850
2026352035,2016-04-15,523,573,3821,2.36999988555908,0,0,188,687,875,875
2026352035,2016-04-16,524,567,2547,1.58000004291534,0,0,150,728,878,878
2026352035,2016-04-17,437,498,838,0.519999980926514,0,0,60,1053,1113,1113
2026352035,2016-04-19,498,540,2424,1.5,0,0,141,785,926,926
2026352035,2016-04-20,461,510,7222,4.48000001907349,0,0,327,623,950,950
2026352035,2016-04-21,477,514,2467,1.52999997138977,0,0,153,749,902,902
2026352035,2016-04-22,520,545,2915,1.80999994277954,0,0,162,712,874,874
2026352035,2016-04-23,522,554,12357,7.71000003814697,0,0,432,458,890,890
2026352035,2016-04-24,555,591,3490,2.16000008583069,0,0,164,704,868,868
2026352035,2016-04-25,506,531,6017,3.73000001907349,0,0,260,821,1081,1081
2026352035,2016-04-27,508,545,6088,3.76999998092651,0,0,286,586,872,872
2026352035,2016-04-28,513,545,6375,3.95000004768372,0,0,331,626,957,957
2026352035,2016-04-29,490,510,7604,4.71000003814697,0,0,352,492,844,844
2026352035,2016-04-30,573,607,4729,2.9300000667572,0,0,233,594,827,827
2026352035,2016-05-01,527,546,3609,2.27999997138977,0,0,191,716,907,907
2026352035,2016-05-02,511,543,7018,4.34999990463257,0,0,355,716,1071,1071
2026352035,2016-05-04,538,560,6564,4.07000017166138,0,0,345,530,875,875
2026352035,2016-05-05,468,485,12167,7.53999996185303,0,0,475,479,954,954
2026352035,2016-05-06,524,548,8198,5.07999992370605,0,0,383,511,894,894
2026352035,2016-05-07,511,521,4193,2.59999990463257,0,0,229,665,894,894
2026352035,2016-05-08,541,568,5528,3.45000004768372,0,0,258,610,868,868
2026352035,2016-05-09,531,556,10685,6.61999988555908,0,0,401,543,944,944
